1	32.1	2016-11-28	27
2	33.5	2017-11-20	32
3	34.9	2019-10-17	8
4	36.3	2019-10-20	15
5	37.7	2018-10-12	23
6	39.1	2018-10-24	17
7	40.5	2016-10-12	15
8	41.9	2018-10-29	38
9	43.3	2016-11-15	25
10	44.7	2018-12-12	47
11	46.1	2017-11-16	39
12	47.5	2016-10-17	6
13	48.9	2019-10-20	12
14	50.3	2016-10-10	24
15	51.7	2019-12-24	35
16	53.1	2019-10-11	14
17	54.5	2017-12-19	12
18	55.9	2018-12-25	32
19	57.3	2016-12-14	28
20	58.7	2019-12-28	41
21	60.1	2018-11-30	20
22	61.5	2019-10-22	19
23	62.9	2017-12-28	4
24	64.3	2017-12-20	34
